tdtfile	medfile	rat	session	box	dietgroup	date	bottleL	bottleR	sig-blue	sig-uv	ttl-trialL	ttl-trialR	ttl-lickL	ttl-lickR	include-mat	include-py	endcol	
Fabien-181119-084756	!2018-11-19_08h21m.Subject QPPh1.02	QPPh1.02	Quin0.5	2	NR	19/11/2018	Malto	Cas	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	145
Fabien-181119-093315	!2018-11-19_09h25m.Subject QPPh1.03	QPPh1.03	Quin0.5	1	PR	19/11/2018	Cas	Malto	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	146
Fabien-181119-093315	!2018-11-19_09h25m.Subject QPPh1.04	QPPh1.04	Quin0.5	2	PR	19/11/2018	Malto	Cas	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	147
Fabien-181119-101419	!2018-11-19_10h12m.Subject QPPh1.05	QPPh1.05	Quin0.5	1	PR	19/11/2018	Malto	Cas	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	148
Fabien-181119-101419	!2018-11-19_10h12m.Subject QPPh1.06	QPPh1.06	Quin0.5	2	PR	19/11/2018	Cas	Malto	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	149
Fabien-181119-105226	!2018-11-19_10h50m.Subject QPPh1.07	QPPh1.07	Quin0.5	1	NR	19/11/2018	Malto	Cas	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	150
Fabien-181119-105226	!2018-11-19_10h50m.Subject QPPh1.08	QPPh1.08	Quin0.5	2	NR	19/11/2018	Cas	Malto	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	151
Fabien-181120-090217	!2018-11-20_09h01m.Subject QPPh1.01	QPPh1.01	Quin1.0	1	NR	20/11/2018	Cas	Malto	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	152
Fabien-181120-090217	!2018-11-20_09h01m.Subject QPPh1.02	QPPh1.02	Quin1.0	2	NR	20/11/2018	Cas	Malto	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	153
Fabien-181120-100208	!2018-11-20_09h56m.Subject QPPh1.03	QPPh1.03	Quin1.0	1	PR	20/11/2018	Cas	Malto	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	154
Fabien-181120-100208	!2018-11-20_09h56m.Subject QPPh1.04	QPPh1.04	Quin1.0	2	PR	20/11/2018	Malto	Cas	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	155
Fabien-181120-104640	!2018-11-20_10h45m.Subject QPPh1.05	QPPh1.05	Quin1.0	1	PR	20/11/2018	Malto	Cas	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	156
Fabien-181120-104640	!2018-11-20_10h45m.Subject QPPh1.06	QPPh1.06	Quin1.0	2	PR	20/11/2018	Cas	Malto	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	157
Fabien-181120-112845	!2018-11-20_11h26m.Subject QPPh1.07	QPPh1.07	Quin1.0	1	NR	20/11/2018	Malto	Cas	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	158
Fabien-181120-112845	!2018-11-20_11h26m.Subject QPPh1.08	QPPh1.08	Quin1.0	2	NR	20/11/2018	Cas	Malto	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	159
Fabien-181121-084547	!2018-11-21_08h14m.Subject QPPh1.01	QPPh1.01	Quin1.0	1	NR	21/11/2018	Cas	Malto	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	160
Fabien-181121-084547	!2018-11-21_08h14m.Subject QPPh1.02	QPPh1.02	Quin1.0	2	NR	21/11/2018	Malto	Cas	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	161
Fabien-181121-093125	!2018-11-21_09h26m.Subject QPPh1.03	QPPh1.03	Quin1.0	1	PR	21/11/2018	Cas	Malto	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	162
Fabien-181121-093125	!2018-11-21_09h26m.Subject QPPh1.04	QPPh1.04	Quin1.0	2	PR	21/11/2018	Malto	Cas	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	163
Fabien-181121-100832	!2018-11-21_10h06m.Subject QPPh1.05	QPPh1.05	Quin1.0	1	PR	21/11/2018	Malto	Cas	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	164
Fabien-181121-100832	!2018-11-21_10h06m.Subject QPPh1.06	QPPh1.06	Quin1.0	2	PR	21/11/2018	Cas	Malto	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	165
Fabien-181121-104620	!2018-11-21_10h44m.Subject QPPh1.07	QPPh1.07	Quin1.0	1	NR	21/11/2018	Malto	Cas	D1B2	D2B2	LT1_	RT1_	LL1_	RL1_	1	1	0	166
Fabien-181121-104620	!2018-11-21_10h44m.Subject QPPh1.08	QPPh1.08	Quin1.0	2	NR	21/11/2018	Cas	Malto	D3B2	D4B2	LT2_	RT2_	LL2_	RL2_	1	1	0	167
